==> 1.pdbqt_log.log <==
   1         -5.4      0.000      0.000
   2         -5.4     13.775     15.867
   3         -5.3      2.311      3.735
   4         -5.1     12.448     14.652
   5         -5.1      2.853      7.318
   6         -5.0     14.888     16.784
   7         -5.0     34.482     37.296
   8         -5.0     14.731     17.155
   9         -4.9     14.095     16.744
  10         -4.8     13.116     15.146
Writing output ... done.

==> 10.pdbqt_log.log <==
   1         -8.8      0.000      0.000
   2         -8.6      5.281      7.477
   3         -8.2     16.279     22.867
   4         -7.6     16.272     22.921
   5         -7.6     18.315     21.519
   6         -7.5     20.362     23.078
   7         -7.5      2.168      8.814
   8         -7.4      5.339      8.739
   9         -7.4      2.427      8.935
  10         -7.4     14.596     18.265
Writing output ... done.

==> 11.pdbqt_log.log <==
   1         -6.0      0.000      0.000
   2         -5.7      3.403      8.668
   3         -5.6     13.746     17.186
   4         -5.6     13.217     15.367
   5         -5.5      3.834      6.447
   6         -5.5     22.077     25.428
   7         -5.5      3.114      7.960
   8         -5.4     26.665     28.336
   9         -5.3     18.385     20.008
  10         -5.3     25.812     27.805
Writing output ... done.

==> 12.pdbqt_log.log <==
   1         -7.0      0.000      0.000
   2         -6.3     19.174     21.832
   3         -6.2     23.009     25.415
   4         -6.1     16.453     19.853
   5         -6.1      3.029      4.298
   6         -6.0      5.233      9.046
   7         -6.0     20.504     22.244
   8         -6.0     20.495     22.808
   9         -5.9     18.709     21.685
  10         -5.9     20.955     23.162
Writing output ... done.

==> 13.pdbqt_log.log <==
   1         -6.4      0.000      0.000
   2         -6.0     12.026     15.149
   3         -5.9      2.564      6.317
   4         -5.9     12.795     16.186
   5         -5.9     31.103     34.808
   6         -5.8      2.586      4.879
   7         -5.8     27.123     30.459
   8         -5.7      3.212      5.439
   9         -5.7     14.402     16.395
  10         -5.6      3.111      6.560
Writing output ... done.

==> 14.pdbqt_log.log <==
   1         -5.9      0.000      0.000
   2         -5.7      2.262      6.013
   3         -5.7     15.779     17.741
   4         -5.6      1.658      2.337
   5         -5.6     15.709     18.598
   6         -5.4     24.556     26.981
   7         -5.4     25.434     27.688
   8         -5.4      2.578      6.233
   9         -5.3      8.132     10.768
  10         -5.2      5.803      9.525
Writing output ... done.

==> 15.pdbqt_log.log <==
   1         -6.7      0.000      0.000
   2         -6.5      2.015      3.602
   3         -6.3      2.416      7.522
   4         -6.2     25.401     27.214
   5         -6.0     15.576     19.117
   6         -5.9     35.190     38.396
   7         -5.8     25.235     28.336
   8         -5.7     18.626     21.346
   9         -5.7     15.937     19.843
  10         -5.5      8.581     11.432
Writing output ... done.

==> 16.pdbqt_log.log <==
   1         -6.9      0.000      0.000
   2         -6.7      1.905      2.339
   3         -6.5      2.464      6.974
   4         -6.4     14.896     17.445
   5         -6.3     33.636     36.967
   6         -6.1     18.399     20.905
   7         -6.1     16.777     19.801
   8         -5.9     11.543     14.995
   9         -5.8     21.193     22.880
  10         -5.8     33.739     37.774
Writing output ... done.

==> 17.pdbqt_log.log <==
   1         -6.4      0.000      0.000
   2         -6.4     12.457     13.209
   3         -6.3     29.214     31.437
   4         -6.1     30.654     36.080
   5         -6.1      5.442      8.730
   6         -6.0     13.935     15.167
   7         -5.9      4.988      8.224
   8         -5.9     31.578     37.107
   9         -5.8     30.775     34.943
  10         -5.7     31.204     37.373
Writing output ... done.

==> 18.pdbqt_log.log <==
   1         -7.0      0.000      0.000
   2         -6.3      2.108      7.031
   3         -6.0      2.087      4.739
   4         -6.0     13.122     16.437
   5         -5.9     11.864     15.687
   6         -5.8     31.522     34.858
   7         -5.8      2.393      6.509
   8         -5.7      2.060      6.546
   9         -5.7     32.904     36.704
  10         -5.6      2.572      5.591
Writing output ... done.

==> 19.pdbqt_log.log <==
   1         -6.0      0.000      0.000
   2         -6.0      2.532      7.262
   3         -5.7     33.235     36.996
   4         -5.6      2.479      4.614
   5         -5.6      2.207      6.970
   6         -5.6     33.536     35.268
   7         -5.5      2.629      7.508
   8         -5.4     11.246     13.753
   9         -5.3     11.807     14.623
  10         -5.3     14.209     15.154
Writing output ... done.

==> 2.pdbqt_log.log <==
   1         -8.5      0.000      0.000
   2         -7.4      1.852      7.246
   3         -7.2     11.112     14.735
   4         -7.2     11.145     14.665
   5         -7.1      2.284      7.749
   6         -7.1     10.903     13.801
   7         -7.1     15.139     17.258
   8         -7.1     13.246     17.804
   9         -7.0     13.099     17.827
  10         -6.8     12.483     17.758
Writing output ... done.

==> 20.pdbqt_log.log <==
   1         -6.9      0.000      0.000
   2         -6.4      1.637      2.120
   3         -6.0     18.322     21.323
   4         -5.9     15.639     20.040
   5         -5.8     22.396     24.957
   6         -5.7     19.212     22.008
   7         -5.6     16.381     19.076
   8         -5.6     29.571     32.650
   9         -5.5     23.120     26.407
  10         -5.4     18.538     21.305
Writing output ... done.

==> 21.pdbqt_log.log <==
   1         -8.2      0.000      0.000
   2         -8.0     15.878     19.123
   3         -8.0     14.088     18.365
   4         -7.9      2.587     10.637
   5         -7.8      2.656     10.938
   6         -7.8      1.718      9.618
   7         -7.8      2.207     10.140
   8         -7.7      2.094     10.415
   9         -7.7     13.377     18.608
  10         -7.6     15.662     20.155
Writing output ... done.

==> 22.pdbqt_log.log <==
   1         -6.6      0.000      0.000
   2         -5.6     16.067     17.859
   3         -5.5     15.014     16.828
   4         -5.5     15.256     18.585
   5         -5.4     22.818     24.427
   6         -5.3      5.764      9.749
   7         -5.3     22.016     24.955
   8         -5.3     11.410     16.375
   9         -5.2     15.999     18.146
  10         -5.1     24.645     27.893
Writing output ... done.

==> 23.pdbqt_log.log <==
   1         -6.7      0.000      0.000
   2         -6.6      2.424      4.687
   3         -6.2     12.696     15.962
   4         -6.1     12.920     15.766
   5         -6.0     18.331     20.758
   6         -5.9     13.950     16.170
   7         -5.7     13.950     16.776
   8         -5.7     15.049     17.062
   9         -5.7     33.458     36.538
  10         -5.6     33.873     37.297
Writing output ... done.

==> 24.pdbqt_log.log <==
   1         -6.9      0.000      0.000
   2         -5.7     21.879     25.555
   3         -5.7     33.457     36.363
   4         -5.5     32.992     36.104
   5         -5.4     32.716     35.945
   6         -5.3      3.247      7.968
   7         -5.3     35.147     37.431
   8         -5.3      3.466      7.802
   9         -5.2     34.621     37.302
  10         -5.1     23.521     25.652
Writing output ... done.

==> 25.pdbqt_log.log <==
   1         -5.5      0.000      0.000
   2         -5.3     12.818     14.744
   3         -5.1     11.626     15.362
   4         -5.1     17.348     20.641
   5         -5.1     20.088     22.414
   6         -5.0      3.757      6.751
   7         -4.9      2.631      4.794
   8         -4.9     25.328     27.597
   9         -4.9     12.355     13.583
  10         -4.9     12.652     14.786
Writing output ... done.

==> 26.pdbqt_log.log <==
   1         -6.1      0.000      0.000
   2         -5.9     18.113     19.689
   3         -5.9     17.512     19.936
   4         -5.8     31.913     35.404
   5         -5.7     14.842     16.665
   6         -5.7      2.744      3.796
   7         -5.6     16.250     19.131
   8         -5.4      2.953      4.814
   9         -5.3     13.914     17.559
  10         -5.2     32.037     35.290
Writing output ... done.

==> 27.pdbqt_log.log <==
   1         -7.5      0.000      0.000
   2         -7.1      2.636      3.355
   3         -7.0      1.519      2.294
   4         -6.6      3.102      4.728
   5         -6.6     17.225     19.252
   6         -6.4     20.704     22.653
   7         -6.3     16.376     21.982
   8         -6.2     20.304     22.042
   9         -6.2     18.788     23.571
  10         -6.1     19.468     21.486
Writing output ... done.

==> 28.pdbqt_log.log <==
   1         -6.2      0.000      0.000
   2         -6.0      1.615      2.168
   3         -5.6      3.501      4.093
   4         -5.5     15.015     16.778
   5         -5.3     16.745     18.466
   6         -5.3     13.953     18.606
   7         -5.3     15.236     17.713
   8         -5.2      2.898      4.509
   9         -5.2      2.392      2.785
  10         -5.2     12.023     15.126
Writing output ... done.

==> 29.pdbqt_log.log <==
   1         -6.2      0.000      0.000
   2         -5.9     14.512     17.058
   3         -5.9      2.252      3.032
   4         -5.7     13.731     16.514
   5         -5.7     16.216     19.687
   6         -5.6      2.983      7.517
   7         -5.5     14.939     18.320
   8         -5.5     33.599     36.949
   9         -5.4     32.091     35.483
  10         -5.4      9.394     12.615
Writing output ... done.

==> 3.pdbqt_log.log <==
   1         -6.9      0.000      0.000
   2         -6.7     20.922     22.611
   3         -6.7     14.299     21.396
   4         -6.2      3.273      4.370
   5         -5.7     14.028     17.307
   6         -5.7     15.387     22.529
   7         -5.5      7.070      8.470
   8         -5.5      7.391      8.761
   9         -5.5     16.120     18.992
  10         -5.4     19.196     21.197
Writing output ... done.

==> 30.pdbqt_log.log <==
   1         -5.7      0.000      0.000
   2         -5.6     13.657     16.708
   3         -5.5     20.234     23.641
   4         -5.3     18.602     20.653
   5         -5.2     23.025     25.687
   6         -5.2     30.273     32.735
   7         -5.1     22.342     24.901
   8         -5.1      3.408      5.552
   9         -5.0      6.475      9.474
  10         -5.0      3.613      5.454
Writing output ... done.

==> 31.pdbqt_log.log <==
   1         -7.6      0.000      0.000
   2         -7.4      1.805      8.659
   3         -7.4      1.603      9.376
   4         -7.3     16.003     20.421
   5         -7.2      2.777      5.703
   6         -7.0     12.727     17.145
   7         -7.0     16.643     19.702
   8         -7.0      2.868      8.490
   9         -6.9     19.841     23.508
  10         -6.9     25.393     29.463
Writing output ... done.

==> 32.pdbqt_log.log <==
   1         -6.1      0.000      0.000
   2         -5.9     18.595     20.148
   3         -5.8     20.484     22.025
   4         -5.6     18.741     21.560
   5         -5.5     19.482     22.481
   6         -5.5     20.749     22.755
   7         -5.5     19.963     21.757
   8         -5.5      5.904      8.072
   9         -5.5     21.276     23.637
  10         -5.4     20.140     22.108
Writing output ... done.

==> 33.pdbqt_log.log <==
   1         -9.4      0.000      0.000
   2         -8.3      2.981      5.977
   3         -7.7     13.825     17.453
   4         -7.7      2.632     11.342
   5         -7.7      2.319      3.179
   6         -7.7      1.714      2.422
   7         -7.6     13.559     17.208
   8         -7.5      1.736      3.297
   9         -7.4      1.314      2.257
  10         -7.3      3.715      7.100
Writing output ... done.

==> 34.pdbqt_log.log <==
   1         -8.0      0.000      0.000
   2         -7.4     18.352     20.530
   3         -7.3     16.048     19.779
   4         -7.2     18.474     20.704
   5         -7.1     20.014     22.554
   6         -7.0      2.463      3.867
   7         -6.8     35.706     39.432
   8         -6.7     30.052     34.543
   9         -6.7     20.515     23.388
  10         -6.6     36.396     39.670
Writing output ... done.

==> 35.pdbqt_log.log <==
   1         -6.3      0.000      0.000
   2         -6.0     15.949     18.908
   3         -6.0     16.219     18.991
   4         -5.9     15.712     18.571
   5         -5.9      1.791      2.711
   6         -5.8      1.586      2.958
   7         -5.7     15.709     19.550
   8         -5.5     14.849     18.552
   9         -5.4     12.816     16.171
  10         -5.3     22.450     25.078
Writing output ... done.

==> 36.pdbqt_log.log <==
   1         -8.5      0.000      0.000
   2         -8.2      2.135      4.020
   3         -7.8      2.155      9.522
   4         -7.7     16.795     21.442
   5         -7.5      2.361      4.573
   6         -7.5     13.771     16.654
   7         -7.4      3.267      5.018
   8         -7.3      1.989     10.575
   9         -7.2      7.044     14.001
  10         -7.2     15.416     20.319
Writing output ... done.

==> 37.pdbqt_log.log <==
   1         -8.7      0.000      0.000
   2         -8.6     15.291     19.310
   3         -8.5      1.084      2.230
   4         -8.3     15.157     19.105
   5         -8.2      1.301      2.247
   6         -8.2     15.708     19.591
   7         -7.8     16.812     21.090
   8         -7.8     15.444     18.749
   9         -7.7     15.908     20.106
  10         -7.6     15.628     19.760
Writing output ... done.

==> 38.pdbqt_log.log <==
   1         -9.4      0.000      0.000
   2         -9.3     13.568     18.539
   3         -9.0      1.183      2.215
   4         -8.9     16.058     20.912
   5         -8.9      1.448      2.618
   6         -8.8     13.476     18.378
   7         -8.8     14.896     19.126
   8         -8.7      1.517      2.666
   9         -8.6      1.699      2.696
  10         -8.5      1.463      2.084
Writing output ... done.

==> 39.pdbqt_log.log <==
   1         -8.1      0.000      0.000
   2         -8.0      1.652      2.553
   3         -8.0      1.769      3.160
   4         -7.9     16.565     21.474
   5         -7.7      1.820      3.222
   6         -7.7     12.342     17.010
   7         -7.6     12.531     17.511
   8         -7.5     13.422     18.032
   9         -7.3      1.716      2.418
  10         -7.2     15.388     20.910
Writing output ... done.

==> 4.pdbqt_log.log <==
   1         -6.3      0.000      0.000
   2         -6.2      3.973      7.676
   3         -5.9      3.328      4.927
   4         -5.8      3.315      6.574
   5         -5.7      3.627      4.882
   6         -5.7     15.114     17.180
   7         -5.7     37.670     39.224
   8         -5.7     15.307     17.735
   9         -5.6     37.334     38.810
  10         -5.5     34.994     37.241
Writing output ... done.

==> 40.pdbqt_log.log <==
   1         -8.0      0.000      0.000
   2         -7.7     19.355     22.628
   3         -7.5     30.836     34.741
   4         -7.5     16.226     20.200
   5         -7.2     16.930     20.309
   6         -7.2     16.174     19.842
   7         -6.8     19.166     22.329
   8         -6.7      9.318     11.431
   9         -6.5     19.464     22.673
  10         -6.5     14.920     18.827
Writing output ... done.

==> 41.pdbqt_log.log <==
   1         -8.4      0.000      0.000
   2         -8.2      2.095      3.465
   3         -7.6      2.853      4.110
   4         -7.6      1.929      2.950
   5         -7.6     14.527     16.015
   6         -7.5     11.719     15.617
   7         -7.4     15.137     16.535
   8         -7.0     15.788     17.166
   9         -6.9     15.820     17.385
  10         -6.9      1.800      2.833
Writing output ... done.

==> 42.pdbqt_log.log <==
   1         -8.0      0.000      0.000
   2         -7.8      1.618      2.232
   3         -7.7     16.359     22.384
   4         -7.6     16.459     21.949
   5         -7.5     15.135     20.490
   6         -7.4     15.700     18.340
   7         -7.4     29.809     32.398
   8         -7.4     15.065     20.402
   9         -7.3     18.857     20.828
  10         -7.3     16.846     18.900
Writing output ... done.

==> 43.pdbqt_log.log <==
   1         -7.5      0.000      0.000
   2         -7.4      0.863      1.432
   3         -7.4     16.191     18.809
   4         -7.4      4.022      7.867
   5         -7.3     15.358     17.920
   6         -7.1     13.135     17.173
   7         -7.0     16.407     18.971
   8         -6.9      4.460      9.257
   9         -6.9      8.796     10.863
  10         -6.9      3.908      8.586
Writing output ... done.

==> 44.pdbqt_log.log <==
   1         -8.2      0.000      0.000
   2         -7.7     16.637     23.139
   3         -7.6      1.929      2.686
   4         -7.6      1.801      3.080
   5         -7.4     15.673     19.719
   6         -7.2     19.756     21.219
   7         -7.0     18.365     20.143
   8         -6.9     15.595     19.228
   9         -6.9     18.705     21.944
  10         -6.9     18.725     20.420
Writing output ... done.

==> 45.pdbqt_log.log <==
   1         -8.6      0.000      0.000
   2         -8.1      2.084      2.401
   3         -7.8      1.407      2.251
   4         -7.4     14.477     17.426
   5         -7.2     21.228     24.271
   6         -7.0     15.023     18.622
   7         -7.0      2.570      8.171
   8         -6.8     19.462     23.182
   9         -6.8     15.262     19.147
  10         -6.6     15.640     19.037
Writing output ... done.

==> 46.pdbqt_log.log <==
   1         -5.8      0.000      0.000
   2         -5.7     14.738     17.196
   3         -5.5     13.698     18.025
   4         -5.5     14.554     15.877
   5         -5.4      2.607      7.498
   6         -5.4     15.088     17.553
   7         -5.3      2.900      3.848
   8         -5.2     13.560     17.999
   9         -5.2     13.359     17.812
  10         -5.1     11.439     13.066
Writing output ... done.

==> 47.pdbqt_log.log <==
   1         -6.3      0.000      0.000
   2         -5.9     15.377     17.789
   3         -5.9     15.176     18.413
   4         -5.9      2.275      3.623
   5         -5.8     15.266     18.468
   6         -5.7     14.928     17.339
   7         -5.6     15.368     16.908
   8         -5.5      2.840      4.211
   9         -5.5     14.903     17.392
  10         -5.4     35.392     36.896
Writing output ... done.

==> 48.pdbqt_log.log <==
   1         -6.4      0.000      0.000
   2         -6.0     13.517     16.763
   3         -6.0      1.542      2.066
   4         -6.0     12.905     17.342
   5         -5.8      2.350      6.979
   6         -5.7     13.851     17.276
   7         -5.7     27.956     33.331
   8         -5.6     13.695     17.910
   9         -5.6     37.626     39.993
